condition_group_id	condition_id	date_created	date_modified
311	93	2018-02-10 05:15:39	2018-02-10 05:15:39
311	94	2018-02-10 05:15:39	2018-02-10 05:15:39
311	95	2018-02-10 05:15:39	2018-02-10 05:15:39
311	96	2018-02-10 05:15:39	2018-02-10 05:15:39
311	97	2018-02-10 05:15:39	2018-02-10 05:15:39
312	98	2018-02-10 05:15:39	2018-02-10 05:15:39
312	99	2018-02-10 05:15:39	2018-02-10 05:15:39
312	100	2018-02-10 05:15:39	2018-02-10 05:15:39
312	101	2018-02-10 05:15:39	2018-02-10 05:15:39
312	102	2018-02-10 05:15:39	2018-02-10 05:15:39
312	103	2018-02-10 05:15:39	2018-02-10 05:15:39
312	104	2018-02-10 05:15:39	2018-02-10 05:15:39
313	105	2018-02-10 05:15:39	2018-02-10 05:15:39
313	106	2018-02-10 05:15:39	2018-02-10 05:15:39
313	107	2018-02-10 05:15:39	2018-02-10 05:15:39
313	108	2018-02-10 05:15:39	2018-02-10 05:15:39
313	109	2018-02-10 05:15:39	2018-02-10 05:15:39
313	110	2018-02-10 05:15:39	2018-02-10 05:15:39
313	111	2018-02-10 05:15:39	2018-02-10 05:15:39
314	112	2018-02-10 05:15:39	2018-02-10 05:15:39
314	113	2018-02-10 05:15:39	2018-02-10 05:15:39
314	114	2018-02-10 05:15:39	2018-02-10 05:15:39
314	115	2018-02-10 05:15:39	2018-02-10 05:15:39
314	116	2018-02-10 05:15:39	2018-02-10 05:15:39
314	117	2018-02-10 05:15:39	2018-02-10 05:15:39
315	118	2018-02-10 05:15:39	2018-02-10 05:15:39
315	119	2018-02-10 05:15:39	2018-02-10 05:15:39
315	120	2018-02-10 05:15:39	2018-02-10 05:15:39
315	121	2018-02-10 05:15:39	2018-02-10 05:15:39
315	122	2018-02-10 05:15:39	2018-02-10 05:15:39
315	123	2018-02-10 05:15:39	2018-02-10 05:15:39
316	124	2018-02-10 05:15:39	2018-02-10 05:15:39
316	125	2018-02-10 05:15:39	2018-02-10 05:15:39
316	126	2018-02-10 05:15:39	2018-02-10 05:15:39
316	127	2018-02-10 05:15:39	2018-02-10 05:15:39
316	128	2018-02-10 05:15:39	2018-02-10 05:15:39
317	129	2018-02-10 05:15:39	2018-02-10 05:15:39
317	130	2018-02-10 05:15:39	2018-02-10 05:15:39
317	131	2018-02-10 05:15:39	2018-02-10 05:15:39
318	132	2018-02-10 05:15:39	2018-02-10 05:15:39
318	133	2018-02-10 05:15:39	2018-02-10 05:15:39
318	134	2018-02-10 05:15:39	2018-02-10 05:15:39
318	135	2018-02-10 05:15:39	2018-02-10 05:15:39
319	136	2018-02-10 05:15:39	2018-02-10 05:15:39
319	137	2018-02-10 05:15:39	2018-02-10 05:15:39
319	138	2018-02-10 05:15:39	2018-02-10 05:15:39
320	139	2018-02-10 05:15:39	2018-02-10 05:15:39
320	140	2018-02-10 05:15:39	2018-02-10 05:15:39
320	141	2018-02-10 05:15:39	2018-02-10 05:15:39
320	142	2018-02-10 05:15:39	2018-02-10 05:15:39
320	143	2018-02-10 05:15:39	2018-02-10 05:15:39
321	144	2018-02-10 05:15:39	2018-02-10 05:15:39
321	145	2018-02-10 05:15:39	2018-02-10 05:15:39
321	146	2018-02-10 05:15:39	2018-02-10 05:15:39
321	147	2018-02-10 05:15:39	2018-02-10 05:15:39
321	148	2018-02-10 05:15:39	2018-02-10 05:15:39
321	149	2018-02-10 05:15:39	2018-02-10 05:15:39
321	150	2018-02-10 05:15:39	2018-02-10 05:15:39
321	151	2018-02-10 05:15:39	2018-02-10 05:15:39
322	152	2018-02-10 05:15:39	2018-02-10 05:15:39
322	153	2018-02-10 05:15:39	2018-02-10 05:15:39
322	154	2018-02-10 05:15:39	2018-02-10 05:15:39
322	155	2018-02-10 05:15:39	2018-02-10 05:15:39
323	156	2018-02-10 05:15:39	2018-02-10 05:15:39
323	157	2018-02-10 05:15:39	2018-02-10 05:15:39
323	158	2018-02-10 05:15:39	2018-02-10 05:15:39
323	159	2018-02-10 05:15:39	2018-02-10 05:15:39
323	160	2018-02-10 05:15:39	2018-02-10 05:15:39
327	161	2018-02-10 05:15:39	2018-02-10 05:15:39
327	162	2018-02-10 05:15:39	2018-02-10 05:15:39
327	163	2018-02-10 05:15:39	2018-02-10 05:15:39
327	164	2018-02-10 05:15:39	2018-02-10 05:15:39
327	165	2018-02-10 05:15:39	2018-02-10 05:15:39
327	166	2018-02-10 05:15:39	2018-02-10 05:15:39
328	167	2018-02-10 05:15:39	2018-02-10 05:15:39
328	168	2018-02-10 05:15:39	2018-02-10 05:15:39
328	169	2018-02-10 05:15:39	2018-02-10 05:15:39
328	170	2018-02-10 05:15:39	2018-02-10 05:15:39
330	171	2018-02-10 05:15:39	2018-02-10 05:15:39
330	172	2018-02-10 05:15:39	2018-02-10 05:15:39
330	173	2018-02-10 05:15:39	2018-02-10 05:15:39
330	174	2018-02-10 05:15:39	2018-02-10 05:15:39
330	175	2018-02-10 05:15:39	2018-02-10 05:15:39
330	176	2018-02-10 05:15:39	2018-02-10 05:15:39
330	177	2018-02-10 05:15:39	2018-02-10 05:15:39
330	178	2018-02-10 05:15:39	2018-02-10 05:15:39
331	179	2018-02-10 05:15:39	2018-02-10 05:15:39
331	180	2018-02-10 05:15:39	2018-02-10 05:15:39
331	181	2018-02-10 05:15:39	2018-02-10 05:15:39
331	182	2018-02-10 05:15:39	2018-02-10 05:15:39
331	183	2018-02-10 05:15:39	2018-02-10 05:15:39
331	184	2018-02-10 05:15:39	2018-02-10 05:15:39
332	185	2018-02-10 05:15:39	2018-02-10 05:15:39
332	186	2018-02-10 05:15:39	2018-02-10 05:15:39
332	187	2018-02-10 05:15:39	2018-02-10 05:15:39
332	188	2018-02-10 05:15:39	2018-02-10 05:15:39
332	189	2018-02-10 05:15:39	2018-02-10 05:15:39
332	190	2018-02-10 05:15:39	2018-02-10 05:15:39
332	191	2018-02-10 05:15:39	2018-02-10 05:15:39
332	192	2018-02-10 05:15:39	2018-02-10 05:15:39
333	193	2018-02-10 05:15:39	2018-02-10 05:15:39
333	194	2018-02-10 05:15:39	2018-02-10 05:15:39
333	195	2018-02-10 05:15:39	2018-02-10 05:15:39
333	196	2018-02-10 05:15:39	2018-02-10 05:15:39
333	197	2018-02-10 05:15:39	2018-02-10 05:15:39
333	198	2018-02-10 05:15:39	2018-02-10 05:15:39
334	199	2018-02-10 05:15:39	2018-02-10 05:15:39
334	200	2018-02-10 05:15:39	2018-02-10 05:15:39
334	201	2018-02-10 05:15:39	2018-02-10 05:15:39
334	202	2018-02-10 05:15:39	2018-02-10 05:15:39
335	203	2018-02-10 05:15:39	2018-02-10 05:15:39
335	204	2018-02-10 05:15:39	2018-02-10 05:15:39
335	205	2018-02-10 05:15:39	2018-02-10 05:15:39
335	206	2018-02-10 05:15:39	2018-02-10 05:15:39
337	207	2018-02-10 05:15:39	2018-02-10 05:15:39
337	208	2018-02-10 05:15:39	2018-02-10 05:15:39
337	209	2018-02-10 05:15:39	2018-02-10 05:15:39
337	210	2018-02-10 05:15:39	2018-02-10 05:15:39
337	211	2018-02-10 05:15:39	2018-02-10 05:15:39
337	212	2018-02-10 05:15:39	2018-02-10 05:15:39
338	213	2018-02-10 05:15:39	2018-02-10 05:15:39
338	214	2018-02-10 05:15:39	2018-02-10 05:15:39
338	215	2018-02-10 05:15:39	2018-02-10 05:15:39
338	216	2018-02-10 05:15:39	2018-02-10 05:15:39
338	217	2018-02-10 05:15:39	2018-02-10 05:15:39
338	218	2018-02-10 05:15:39	2018-02-10 05:15:39
339	219	2018-02-10 05:15:39	2018-02-10 05:15:39
339	220	2018-02-10 05:15:39	2018-02-10 05:15:39
339	221	2018-02-10 05:15:39	2018-02-10 05:15:39
339	222	2018-02-10 05:15:39	2018-02-10 05:15:39
339	223	2018-02-10 05:15:39	2018-02-10 05:15:39
339	224	2018-02-10 05:15:39	2018-02-10 05:15:39
339	225	2018-02-10 05:15:39	2018-02-10 05:15:39
339	226	2018-02-10 05:15:39	2018-02-10 05:15:39
339	227	2018-02-10 05:15:39	2018-02-10 05:15:39
340	228	2018-02-10 05:15:39	2018-02-10 05:15:39
340	229	2018-02-10 05:15:39	2018-02-10 05:15:39
340	230	2018-02-10 05:15:39	2018-02-10 05:15:39
340	231	2018-02-10 05:15:39	2018-02-10 05:15:39
340	232	2018-02-10 05:15:39	2018-02-10 05:15:39
340	233	2018-02-10 05:15:39	2018-02-10 05:15:39
340	234	2018-02-10 05:15:39	2018-02-10 05:15:39
341	235	2018-02-10 05:15:39	2018-02-10 05:15:39
341	236	2018-02-10 05:15:39	2018-02-10 05:15:39
341	237	2018-02-10 05:15:39	2018-02-10 05:15:39
341	238	2018-02-10 05:15:39	2018-02-10 05:15:39
341	239	2018-02-10 05:15:39	2018-02-10 05:15:39
341	240	2018-02-10 05:15:39	2018-02-10 05:15:39
341	241	2018-02-10 05:15:39	2018-02-10 05:15:39
342	242	2018-02-10 05:15:39	2018-02-10 05:15:39
342	243	2018-02-10 05:15:39	2018-02-10 05:15:39
343	244	2018-02-10 05:15:39	2018-02-10 05:15:39
343	245	2018-02-10 05:15:39	2018-02-10 05:15:39
343	246	2018-02-10 05:15:39	2018-02-10 05:15:39
343	247	2018-02-10 05:15:39	2018-02-10 05:15:39
343	248	2018-02-10 05:15:39	2018-02-10 05:15:39
343	249	2018-02-10 05:15:39	2018-02-10 05:15:39
343	250	2018-02-10 05:15:39	2018-02-10 05:15:39
343	251	2018-02-10 05:15:39	2018-02-10 05:15:39
343	252	2018-02-10 05:15:39	2018-02-10 05:15:39
